# Instruction Set Lookup Table

# Operation Codes (Opcode)
keep           : 10000000
jump           : 10000001
remove         : 10000010
replace        : 10000011
initialize     : 10000100
add            : 10000101
substract      : 10000110
divide         : 10000111
multiply       : 10001000
right_shift    : 10001001
left_shift     : 10001010
move           : 10001011

# Register Mapping (R1-R31)
R1  : 00001
R2  : 00010
R3  : 00011
R4  : 00100
R5  : 00101
R6  : 00110
R7  : 00111
R8  : 01000
R9  : 01001
R10 : 01010
R11 : 01011
R12 : 01100
R13 : 01101
R14 : 01110
R15 : 01111
R16 : 10000
R17 : 10001
R18 : 10010
R19 : 10011
R20 : 10100
R21 : 10101
R22 : 10110
R23 : 10111
R24 : 11000
R25 : 11001
R26 : 11010
R27 : 11011
R28 : 11100
R29 : 11101
R30 : 11110
R31 : 11111

